Row 001: ['  BILL OF MATERIALS — Customer-Specific', None, None, None, None, None, None, None, None, None, None]
Row 002: ['Product ID', 'BOM ID', 'Customer', 'Product Name', 'Dia', 'Material Category', 'Item ID', 'Item Name', 'UOM', 'Per 1000 Units', 'Material Group']
Row 111: [3726, 9, 'Samsol International Private Limited', 'TUBES', 25, 'TAPE', 3635, 'PACKING TAPE 2" OF 60 YARDS', 'PCS', 0.079, 'Packing Tape']
Row 112: [6470, 177, 'Muhammad Hashim Khan', 'TUBES COMMON RED', 25, 'SLUG', 6, '25X4.5 S/M', 'kg', 5.917, 'Aluminum Slugs']
Row 113: [6470, 177, 'Muhammad Hashim Khan', 'TUBES COMMON RED', 25, 'BASE COAT', 3595, 'POLYSTER BASE COAT WHITE 234', 'kg', 0.612, 'Base Coat']
Row 114: [6470, 177, 'Muhammad Hashim Khan', 'TUBES COMMON RED', 25, 'CAP', 68, 'M-11 S/M SPR WHITE DIA 25MM', 'PCS', 1000, 'Caps']
Row 115: [6470, 177, 'Muhammad Hashim Khan', 'TUBES COMMON RED', 25, 'CARTON', 3598, '25x336 5Ply', 'PCS', 2.976, 'Cartons']
Row 116: [6470, 177, 'Muhammad Hashim Khan', 'TUBES COMMON RED', 25, 'ZINC POWDER', 194, 'ZINC STEARATE', 'kg', 0.006154, 'Zinc Stearate']
Row 117: [6470, 177, 'Muhammad Hashim Khan', 'TUBES COMMON RED', 25, 'LACQUER', 4155, 'E/P LACQUER 4000 A/R', 'L', 0.292, 'Lacquer']
Row 118: [6470, 177, 'Muhammad Hashim Khan', 'TUBES COMMON RED', 25, 'TAPE', 3635, 'PACKING TAPE 2" OF 60 YARDS', 'PCS', 0.079, 'Packing Tape']
Row 119: [6470, 177, 'Muhammad Hashim Khan', 'TUBES COMMON RED', 25, 'INK', 3754, 'RED BRONZE (LOCAL) 32519', 'kg', 0.025, 'Ink']
Row 120: [6470, 177, 'Muhammad Hashim Khan', 'TUBES COMMON RED', 25, 'INK', 3955, 'GERANIUM (EVER SHINE) ES-130', 'kg', 0.025, 'Ink']
Row 121: [6506, 179, 'Samsol International Private Limited', 'TUBES MEN BLUE', 25, 'SLUG', 6, '25X4.5 S/M', 'kg', 5.917, 'Aluminum Slugs']
Row 122: [6506, 179, 'Samsol International Private Limited', 'TUBES MEN BLUE', 25, 'BASE COAT', 3595, 'POLYSTER BASE COAT WHITE 234', 'kg', 0.612, 'Base Coat']
Row 123: [6506, 179, 'Samsol International Private Limited', 'TUBES MEN BLUE', 25, 'CAP', 68, 'M-11 S/M SPR WHITE DIA 25MM', 'PCS', 1000, 'Caps']
Row 124: [6506, 179, 'Samsol International Private Limited', 'TUBES MEN BLUE', 25, 'CARTON', 3598, '25x336 5Ply', 'PCS', 2.976, 'Cartons']
Row 125: [6506, 179, 'Samsol International Private Limited', 'TUBES MEN BLUE', 25, 'ZINC POWDER', 194, 'ZINC STEARATE', 'kg', 0.006154, 'Zinc Stearate']
Row 126: [6506, 179, 'Samsol International Private Limited', 'TUBES MEN BLUE', 25, 'LACQUER', 4155, 'E/P LACQUER 4000 A/R', 'L', 0.292, 'Lacquer']
Row 127: [6506, 179, 'Samsol International Private Limited', 'TUBES MEN BLUE', 25, 'TAPE', 3635, 'PACKING TAPE 2" OF 60 YARDS', 'PCS', 0.079, 'Packing Tape']
Row 128: [6532, 181, 'Samsol International Private Limited', 'TUBE COMMON PURPLE', 25, 'SLUG', 6, '25X4.5 S/M', 'kg', 5.917, 'Aluminum Slugs']
Row 129: [6532, 181, 'Samsol International Private Limited', 'TUBE COMMON PURPLE', 25, 'BASE COAT', 3595, 'POLYSTER BASE COAT WHITE 234', 'kg', 0.612, 'Base Coat']
Row 130: [6532, 181, 'Samsol International Private Limited', 'TUBE COMMON PURPLE', 25, 'CAP', 68, 'M-11 S/M SPR WHITE DIA 25MM', 'PCS', 1000, 'Caps']
Row 131: [6532, 181, 'Samsol International Private Limited', 'TUBE COMMON PURPLE', 25, 'CARTON', 3598, '25x336 5Ply', 'PCS', 2.976, 'Cartons']
Row 132: [6532, 181, 'Samsol International Private Limited', 'TUBE COMMON PURPLE', 25, 'ZINC POWDER', 194, 'ZINC STEARATE', 'kg', 0.00615385, 'Zinc Stearate']
Row 133: [6532, 181, 'Samsol International Private Limited', 'TUBE COMMON PURPLE', 25, 'LACQUER', 4155, 'E/P LACQUER 4000 A/R', 'L', 0.292, 'Lacquer']
Row 134: [6532, 181, 'Samsol International Private Limited', 'TUBE COMMON PURPLE', 25, 'TAPE', 3635, 'PACKING TAPE 2" OF 60 YARDS', 'PCS', 0.079, 'Packing Tape']
Row 135: [6338, 167, 'DTM', 'DTM DIA 25MM', 25, 'SLUG', 10, '25X4.8 S/M', 'kg', 5.917, 'Aluminum Slugs']
Row 136: [6338, 167, 'DTM', 'DTM DIA 25MM', 25, 'BASE COAT', 3595, 'POLYSTER BASE COAT WHITE 234', 'kg', 0.56, 'Base Coat']
Row 137: [6338, 167, 'DTM', 'DTM DIA 25MM', 25, 'CARTON', 3598, '25x336 5Ply', 'PCS', 2.976, 'Cartons']
